Rank,Names,Age,Worth_per_billion,Worth,Work_Industry,Company_Name,City,Country,Organization,Self_Made,Gender,Date of Birth,Title,Age_Group
163,Lei Jun,52,12,11700000000,Technology,Smartphones,Beijing,China,Xiaomi,TRUE,Male,16/12/1969,Founder ,Middle Aged Adult
167,Brian Chesky,40,12,11500000000,Technology,Airbnb,San Francisco,United States,AirBnB,TRUE,Male,29/08/1981,CEO,Young Adult
167,Israel Englander,73,12,11500000000,Finance & Investments,Hedge Funds,New York,United States,"Millennium Management, L.L.C.",TRUE,Male,30/09/1948,Founder,Old
167,Dustin Moskovitz,37,12,11500000000,Technology,Facebook,San Francisco,United States,Asana,TRUE,Male,22/05/1984,Cofounder,Young Adult
167,Alisher Usmanov,68,12,11500000000,Metals & Mining,Steel,Moscow,Russia,Metalloinvest,TRUE,Male,09/09/1953,Founder,Old
173,Pierre Omidyar,54,11,11300000000,Technology,PayPal,Honolulu,United States,eBay,TRUE,Male,21/06/1967,Entrepreneur,Middle Aged Adult
180,David Cheriton,71,11,10900000000,Technology,Google,Palo Alto,Canada,Stanford University,TRUE,Male,29/03/1951,Entrepreneur,Old
183,Diane Hendricks,75,11,10700000000,Construction & Engineering,Roofing,Afton,United States,ABC Supply,TRUE,Female,02/03/1947,Entrepreneur,Old
185,Jerry Jones,79,11,10600000000,Sports,Dallas Cowboys,Dallas,United States,Dallas Cowboys,TRUE,Male,13/10/1942,President,Old
185,Eduardo Saverin,40,11,10600000000,Technology,Facebook,Singapore,Brazil,Meta Platforms,TRUE,Male,19/03/1982,Investor,Young Adult
192,"Chase Coleman, III.",46,10,10300000000,Finance & Investments,Investments,New York,United States,Tiger Global Management,TRUE,Male,21/06/1975,Investor,Middle Aged Adult
192,Mikhail Prokhorov,56,10,10300000000,Finance & Investments,Investments,Moscow,Russia,Brooklyn Nets,TRUE,Male,03/05/1965,Owner,Middle Aged Adult
197,Joe Gebbia,40,10,10000000000,Technology,Airbnb,San Francisco,United States,AirBnB,TRUE,Male,21/08/1981,Cofounder,Young Adult
197,David Geffen,79,10,10000000000,Media & Entertainment,Movies,Beverly Hills,United States,DreamWorks Animation SKG Inc. (Cl A),TRUE,Male,21/02/1943,Entrepreneur,Old
201,George Kaiser,79,10,9900000000,Energy,Oil & Gas,Tulsa,United States,BOK Financial,FALSE,Male,29/07/1942,Chairman,Old
201,Andreas von Bechtolsheim & family,66,10,9900000000,Technology,Google,Palo Alto,Germany,Arista Networks,TRUE,Male,30/09/1955,Entrepreneur,Old
206,Jan Koum,46,10,9800000000,Technology,WhatsApp,Atherton,United States,WhatsApp Inc.,TRUE,Male,24/02/1976,Entrepreneur,Middle Aged Adult
206,Azim Premji,76,10,9800000000,Technology,Software,Bangalore,India,Wipro Limited (ADR),FALSE,Male,24/07/1945,Chairman,Old
214,John Collison,31,10,9500000000,Technology,Payment Software,San Francisco,Ireland,Stripe,TRUE,Male,06/08/1990,Entrepreneur,Young Adult
214,Patrick Collison,33,10,9500000000,Technology,Payment Software,San Francisco,Ireland,Stripe,TRUE,Male,09/09/1988,Cofounder,Young Adult
214,Gordon Moore,93,10,9500000000,Technology,Intel,Woodside,United States,Intel,TRUE,Male,03/01/1929,Cofounder,Old
223,Kim Beom-su,56,9,9100000000,Technology,Online Services,Seoul,South Korea,Kakao,TRUE,Male,27/03/1966,Entrepreneur,Middle Aged Adult
223,Jay Y. Lee,53,9,9100000000,Diversified,Samsung,Seoul,South Korea,Samsung Electronics Co. Ltd.,FALSE,Male,23/06/1968,Vice Chairman,Middle Aged Adult
235,"Herbert Kohler, Jr. & family",83,9,8800000000,Manufacturing,Plumbing Fixtures,Kohler,United States,Kohler Co.,FALSE,Male,20/02/1939,Chairman,Old
235,Zong Qinghou,76,9,8800000000,Food & Beverage,Beverages,Hangzhou,China,Hangzhou Wahaha Group,TRUE,Male,01/10/1945,Chairman,Old
241,Charles Ergen,69,9,8700000000,Media & Entertainment,Satellite TV,Denver,United States,DISH Network,TRUE,Male,01/03/1953,Founder,Old
241,Bernard Marcus,92,9,8700000000,Fashion & Retail,Home Depot,Atlanta,United States,The Home Depot,TRUE,Male,12/05/1929,Cofounder,Old
246,George Soros,91,9,8600000000,Finance & Investments,Hedge Funds,Katonah,United States,Soros Fund Management LLC,TRUE,Male,12/08/1930,Founder,Old
254,Steven Rales,71,8,8400000000,Manufacturing,Manufacturing,Santa Barbara,United States,Danaher,TRUE,Male,31/03/1951,Investor,Old
263,Robert Kraft,80,8,8300000000,Sports,New England Patriots,Brookline,United States,The Kraft Group,TRUE,Male,05/06/1941,Chairman and CEO,Old
275,Marc Benioff,57,8,8100000000,Technology,business software,San Francisco,United States,Salesforce.com,TRUE,Male,25/09/1964,Chairman and CEO,Middle Aged Adult
284,Michael Rubin,49,8,8000000000,Fashion & Retail,Online Retail,Bryn Mawr,United States,Kynetic,TRUE,Male,21/07/1972,Entrepreneur,Middle Aged Adult
284,Patrick Ryan,84,8,8000000000,Finance & Investments,Insurance,Winnetka,United States,Ryan Specialty Group,TRUE,Male,15/05/1937,Chairman and CEO,Old
288,Christopher Hohn,55,8,7900000000,Finance & Investments,Hedge Funds,London,United Kingdom,The Children's Investment Fund Management,TRUE,Male,27/10/1966,Investor,Middle Aged Adult
288,Christy Walton,73,8,7900000000,Fashion & Retail,Walmart,Jackson,United States,Children's Scholarship Fund,FALSE,Female,08/02/1949,Co-Chairman,Old
296,Jim Kennedy,74,8,7800000000,Media & Entertainment,Media,Atlanta,United States,Cox Enterprises,FALSE,Male,29/11/1947,Chairman ,Old
304,Henry Kravis,78,8,7700000000,Finance & Investments,Private Equity,New York,United States,KKR & Co.,TRUE,Male,06/01/1944,Co-Chairman,Old
316,Richard Kinder,77,8,7500000000,Energy,Pipelines,Houston,United States,Kinder Morgan,TRUE,Male,19/10/1944,Chairman and CEO,Old
316,David Shaw,71,8,7500000000,Finance & Investments,Hedge Funds,New York,United States,"D. E. Shaw & Co., L.P.",TRUE,Male,29/03/1951,Founder,Old
324,David Green & family,80,7,7300000000,Fashion & Retail,Retail,Oklahoma City,United States,Hobby Lobby,TRUE,Male,13/11/1941,CEO,Old
324,"Paul Tudor Jones, II.",67,7,7300000000,Finance & Investments,Hedge Funds,Palm Beach,United States,Tudor Investment Corporation,TRUE,Male,28/09/1954,Founder,Old
324,Yuri Milner,60,7,7300000000,Finance & Investments,Tech Investments,Los Altos,Israel,DST Global,TRUE,Male,11/11/1961,Investor,Middle Aged Adult
324,Henry Samueli,67,7,7300000000,Technology,semiconductors,Newport Beach,United States,Broadcom,TRUE,Male,20/09/1954,Cofounder,Old
336,Arthur Blank,79,7,7100000000,Sports,Home Depot,Atlanta,United States,Atlanta Falcons,TRUE,Male,27/09/1942,Chairman,Old
336,J. Christopher Reyes,68,7,7100000000,Food & Beverage,Food Distribution,Hobe Sound,United States,Reyes Holdings,TRUE,Male,29/12/1953,Co-Chairman,Old
336,Jude Reyes,66,7,7100000000,Food & Beverage,Food Distribution,Palm Beach,United States,Reyes Holdings,TRUE,Male,16/09/1955,Co-Chairman,Old
343,Judy Faulkner,78,7,7000000000,Technology,Healthcare IT,Madison,United States,Epic Systems,TRUE,Female,11/08/1943,Founder,Old
343,Robin Li,53,7,7000000000,Technology,Internet Search,Beijing,China,Baidu,TRUE,Male,17/11/1968,Founder,Middle Aged Adult
350,Micky Arison,72,7,6900000000,Service,Carnival Cruises,Bal Harbour,United States,Carnival Corporation,FALSE,Male,29/06/1949,Chairman and CEO,Old
350,Terry Gou,71,7,6900000000,Technology,Electronics Components,Taipei,Taiwan,Hon Hai Precision,TRUE,Male,18/10/1950,CEO,Old
350,Vinod Khosla,67,7,6900000000,Technology,Venture Capital,Portola Valley,United States,Khosla Ventures,TRUE,Male,28/01/1955,Investor,Old
350,Ralph Lauren,82,7,6900000000,Fashion & Retail,Apparel,New York,United States,Ralph Lauren,TRUE,Male,14/10/1939,Chairman ,Old
350,Douglas Leone,64,7,6900000000,Finance & Investments,Venture Capital,Atherton,United States,Sequoia,TRUE,Male,04/07/1957,Partner,Old
363,Stanley Druckenmiller,68,7,6800000000,Finance & Investments,Hedge Funds,New York,United States,Duquesne Family Office,TRUE,Male,14/06/1953,Founder,Old
369,James Goodnight,79,7,6700000000,Technology,Software,Cary,United States,SAS Institute,TRUE,Male,06/01/1943,CEO,Old
375,Andreas Halvorsen,60,7,6600000000,Finance & Investments,Hedge Funds,Darien,Norway,Viking Global Investors,TRUE,Male,23/04/1961,Investor,Middle Aged Adult
375,Randa Duncan Williams,60,7,6600000000,Energy,Pipelines,Houston,United States,Enterprise GP Holdings,FALSE,Female,28/08/1961,Chairman,Middle Aged Adult
386,Philippe Laffont,54,7,6500000000,Finance & Investments,Hedge Funds,New York,United States,Coatue Management,TRUE,Male,16/09/1967,Founder,Middle Aged Adult
386,"Henry Nicholas, III.",62,7,6500000000,Technology,semiconductors,Newport Coast,United States,Broadcom,TRUE,Male,08/10/1959,Cofounder,Old
386,John Overdeck,52,7,6500000000,Finance & Investments,Hedge Funds,Millburn,United States,Two Sigma,TRUE,Male,21/12/1969,Investor,Middle Aged Adult
386,Melanie Perkins,34,7,6500000000,Technology,Software,Sydney,Australia,Canva,TRUE,Female,13/05/1987,Entrepreneur,Young Adult
386,David Siegel,60,7,6500000000,Finance & Investments,Hedge Funds,Scarsdale,United States,Two Sigma,TRUE,Male,15/07/1961,Investor,Middle Aged Adult
403,Bobby Murphy,33,6,6300000000,Technology,Snapchat,Venice,United States,Snap,TRUE,Male,19/07/1988,Cofounder,Young Adult
411,Melinda French Gates,57,6,6200000000,Technology,Microsoft,Medina,United States,Bill & Melinda Gates Foundation,FALSE,Female,15/08/1964,Co-Chairman,Middle Aged Adult
411,Bruce Kovner,77,6,6200000000,Finance & Investments,Hedge Funds,New York,United States,Caxton Associates LP,TRUE,Male,25/02/1945,Founder,Old
411,Leonard Stern,84,6,6200000000,Real Estate,Real Estate,New York,United States,"Hartz Mountain Industries, Inc.",FALSE,Male,28/03/1938,Chairman and CEO,Old
418,Jack Dorsey,45,6,6100000000,Technology,Twitter,San Francisco,United States,Twitter,TRUE,Male,19/11/1976,Entrepreneur,Middle Aged Adult
418,Evan Spiegel,31,6,6100000000,Technology,Snapchat,Los Angeles,United States,Snap,TRUE,Male,04/06/1990,Cofounder,Young Adult
431,Stephen Bisciotti,61,6,5900000000,Sports,Staffing,Millersville,United States,Baltimore Ravens,TRUE,Male,10/04/1960,Owner,Old
431,Michael Moritz,67,6,5900000000,Technology,Venture Capital,San Francisco,United States,Sequoia,TRUE,Male,12/09/1954,Investor,Old
438,Terrence Pegula,71,6,5800000000,Energy,Natural Gas,Boca Raton,United States,Buffalo Sabres,TRUE,Male,27/03/1951,Owner,Old
438,John A. Sobrato & family,82,6,5800000000,Real Estate,Real Estate,Atherton,United States,Sobrato Development Cos.,TRUE,Male,23/05/1939,Founder,Old
438,Les Wexner & family,84,6,5800000000,Fashion & Retail,Retail,New Albany,United States,L Brands,TRUE,Male,08/09/1937,Chairman and CEO,Old
460,Joe Mansueto,65,6,5700000000,Finance & Investments,Investments,Chicago,United States,Morningstar Inc.,TRUE,Male,03/09/1956,Entrepreneur,Old
471,Tilman Fertitta,64,6,5600000000,Food & Beverage,Houston Rockets,Houston,United States,Fertitta Entertainment,TRUE,Male,25/06/1957,Chairman,Old
471,"Edward Roski, Jr.",83,6,5600000000,Real Estate,Real Estate,Los Angeles,United States,"Majestic Realty, Co.",FALSE,Male,25/12/1938,Chairman,Old
471,David Sun,70,6,5600000000,Technology,Computer Hardware,Irvine,United States,Kingston Technology Corporation,TRUE,Male,12/10/1951,COO,Old
471,John Tu,80,6,5600000000,Technology,Computer Hardware,Rolling Hills,United States,Kingston Technology Corporation,TRUE,Male,12/08/1941,President,Old
480,Don Hankey,78,6,5500000000,Finance & Investments,Auto Loans,Malibu,United States,Hankey Group,TRUE,Male,13/06/1943,Entrepreneur,Old
490,Jim Davis & family,78,5,5400000000,Manufacturing,New Balance,Newton,United States,New Balance ,TRUE,Male,17/05/1943,Chairman,Old
490,Charles Dolan & family,95,5,5400000000,Media & Entertainment,Cable Television,Oyster Bay,United States,Cablevision Systems Corp.,TRUE,Male,16/10/1926,Chairman,Old
509,Chip Wilson,65,5,5300000000,Fashion & Retail,Lululemon,Vancouver,Canada,Lululemon Athletica,TRUE,Male,01/01/1957,Chairman,Old
523,Eric Yuan & family,52,5,5200000000,Technology,Zoom Video Communications,Santa Clara,United States,Rx relief,TRUE,Male,20/02/1970,Founder,Middle Aged Adult
536,Charles B. Johnson,89,5,5100000000,Finance & Investments,money management,Palm Beach,United States,Franklin Resources,FALSE,Male,06/01/1933,CEO,Old
536,Isaac Perlmutter,79,5,5100000000,Media & Entertainment,Marvel comics,Palm Beach,United States,Marvel Entertainment,TRUE,Male,01/12/1942,Chairman,Old
536,Michael Pieper,76,5,5100000000,Manufacturing,Kitchen Appliances,Lucerne,Switzerland,Artemis Real Estate Partners,TRUE,Male,05/02/1946,CEO,Old
552,Alain Bouchard,73,5,5000000000,Fashion & Retail,Convenience Stores,Montreal,Canada,Alimentation Couche Tard Inc. Cl A,TRUE,Male,18/02/1949,Entrepreneur,Old
552,Thomas Pritzker,71,5,5000000000,Finance & Investments,Hotels,Chicago,United States,Hyatt Hotels,FALSE,Male,06/06/1950,Chairman,Old
552,Scott Shleifer,44,5,5000000000,Finance & Investments,Private Equity,New York,United States,Tiger Global Management,TRUE,Male,14/06/1977,Investor,Middle Aged Adult
552,Peter Thiel,54,5,5000000000,Finance & Investments,"Facebook, investments",Los Angeles,United States,Founders Fund,TRUE,Male,11/10/1967,Investor,Middle Aged Adult
586,Emanuele (Lino) Saputo & family,85,5,4800000000,Food & Beverage,Cheese,Montreal,Canada,Saputo,FALSE,Male,01/01/1937,Chairman,Old
586,Frank Wang,41,5,4800000000,Technology,Drones,Shenzhen,China,DJI Technology Co.,TRUE,Male,30/10/1980,Entrepreneur,Middle Aged Adult
601,Mark Cuban,63,5,4700000000,Media & Entertainment,Online Media,Dallas,United States,Dallas Mavericks,TRUE,Male,31/07/1958,Owner,Old
601,Fred Smith,77,5,4700000000,Logistics,FedEx,Memphis,United States,FedEx,TRUE,Male,11/08/1944,Chairman and CEO,Old
622,Min Kao & family,73,5,4600000000,Technology,Navigation Equipment,Leawood,United States,Garmin Corporation,TRUE,Male,10/01/1949,Chairman and CEO,Old
637,Daryl Katz,60,5,4500000000,Diversified,Pharmacies,Edmonton,Canada,Rexall Health,TRUE,Male,01/09/1961,Chairman,Middle Aged Adult
637,Falguni Nayar,59,5,4500000000,Fashion & Retail,Retail,Mumbai,India,Nykaa,TRUE,Female,19/02/1963,Founder,Middle Aged Adult
665,Dan Friedkin,57,4,4300000000,Automotive,Toyota Dealerships,Houston,United States,Gulf States Toyota,FALSE,Male,27/02/1965,Owner,Middle Aged Adult
665,"Rupert Johnson, Jr.",81,4,4300000000,Finance & Investments,money management,Burlingame,United States,Franklin Resources,FALSE,Male,10/08/1940,Director,Old
665,Richard Schulze,81,4,4300000000,Fashion & Retail,Best Buy,Bonita Springs,United States,Best Buy,TRUE,Male,02/01/1941,Chairman,Old
665,Paul Singer,77,4,4300000000,Finance & Investments,Hedge Funds,New York,United States,Elliott Management,TRUE,Male,22/08/1944,Investor,Old
665,Mark Walter,61,4,4300000000,Finance & Investments,Finance,Chicago,United States,Guggenheim Partners LLC,TRUE,Male,22/05/1960,CEO,Old
687,Mong-Koo Chung,84,4,4200000000,Automotive,Hyundai,Seoul,South Korea,Hyundai Motor Co. Ltd.,FALSE,Male,19/03/1938,Chairman,Old
687,Carlo Fidani,67,4,4200000000,Real Estate,Real Estate,Toronto,Canada,Orlando Corporation,FALSE,Male,01/01/1955,Chairman,Old
687,Martha Ingram & family,86,4,4200000000,Media & Entertainment,Transportation,Nashville,United States,Ingram Industries,FALSE,Female,20/08/1935,Chairman,Old
687,Daniel Loeb,60,4,4200000000,Finance & Investments,Hedge Funds,New York,United States,Third Point,TRUE,Male,18/12/1961,Investor,Middle Aged Adult
687,Romesh T. Wadhwani,74,4,4200000000,Technology,Software,Palo Alto,United States,Symphony Technology Group,TRUE,Male,25/08/1947,Founder,Old
709,Lee Boo-jin,51,4,4100000000,Service,Samsung,Seoul,South Korea,Hotel Shilla,FALSE,Female,06/10/1970,President,Middle Aged Adult
709,Eric Lefkofsky,52,4,4100000000,Technology,Investments,Glencoe,United States,Groupon,TRUE,Male,02/09/1969,Chairman,Middle Aged Adult
709,Steven Udvar-Hazy,76,4,4100000000,Service,Aircraft Leasing,Beverly Hills,United States,Air Lease,TRUE,Male,23/02/1946,CEO,Old
728,Daniel Och,61,4,4000000000,Finance & Investments,Hedge Funds,Miami Beach,United States,Och-Ziff Capital Management,TRUE,Male,27/01/1961,Founder,Old
728,John Paulson,66,4,4000000000,Finance & Investments,Hedge Funds,New York,United States,Paulson & Co. Inc.,TRUE,Male,14/12/1955,Founder,Old
728,Miuccia Prada,72,4,4000000000,Fashion & Retail,Luxury Goods,Milan,Italy,Prada,FALSE,Female,10/05/1949,CEO,Old
728,David Rubenstein,72,4,4000000000,Finance & Investments,Private Equity,Bethesda,United States,Carlyle Group,TRUE,Male,11/08/1949,Cofounder,Old
728,Denise York & family,71,4,4000000000,Sports,San Francisco 49ers,Youngstown,United States,San Francisco 49ers,FALSE,Female,21/10/1950,Co-Chairman,Old
764,"Stephen Mandel, Jr.",66,4,3900000000,Finance & Investments,Hedge Funds,Greenwich,United States,Lone Pine Capital,TRUE,Male,12/03/1956,Founder,Old
764,Gabe Newell,59,4,3900000000,Gambling & Casinos,Videogames,Seattle,United States,Valve Corporation,TRUE,Male,03/11/1962,Cofounder and CEO,Middle Aged Adult
764,Neil Shen,54,4,3900000000,Finance & Investments,Venture Capital,Hong Kong,China,Sequoia China,TRUE,Male,16/12/1967,Entrepreneur,Middle Aged Adult
778,"William Conway, Jr.",72,4,3800000000,Finance & Investments,Private Equity,McLean,United States,Carlyle Group,TRUE,Male,27/08/1949,Cofounder,Old
778,Jimmy Haslam,68,4,3800000000,Fashion & Retail,Gas Stations,Knoxville,United States,Pilot Company,FALSE,Male,09/03/1954,CEO,Old
778,Margarita Louis-Dreyfus & family,59,4,3800000000,Food & Beverage,Commodities,Davos,Switzerland,Louis Dreyfus SAS,FALSE,Female,01/06/1962,President,Middle Aged Adult
801,William Berkley,75,4,3700000000,Finance & Investments,Insurance,Coconut Grove,United States,WR Berkley,TRUE,Male,01/09/1946,Chairman and CEO,Old
801,Reed Hastings,61,4,3700000000,Media & Entertainment,Netflix,Santa Cruz,United States,Netflix,TRUE,Male,08/10/1960,CEO,Old
801,"Amos Hostetter, Jr.",85,4,3700000000,Media & Entertainment,Cable Television,Boston,United States,Pilot House Associates,TRUE,Male,12/01/1937,Chairman,Old
801,"Bernard Saul, II.",89,4,3700000000,Finance & Investments,Banking,Chevy Chase,United States,Saul Centers Inc.,FALSE,Male,15/04/1932,Chairman and CEO,Old
822,David Filo,55,4,3600000000,Technology,Yahoo,Palo Alto,United States,Yahoo!,TRUE,Male,15/04/1966,Entrepreneur,Middle Aged Adult
822,James Leprino,84,4,3600000000,Food & Beverage,Cheese,Indian Hills,United States,Leprino Foods,FALSE,Male,22/11/1937,Chairman,Old
822,Rodger Riney & family,76,4,3600000000,Finance & Investments,discount brokerage,St. Louis,United States,"Scottrade, Inc.",TRUE,Male,01/01/1946,Cofounder,Old
851,James Irsay,62,4,3500000000,Sports,Indianapolis Colts,Carmel,United States,Indianapolis Colts,FALSE,Male,13/06/1959,CEO,Old
