Rank,Names,Age,WorthPerBillion,Worth,Work Industry,Company Name,Country,State,City,Organization,Self Made,Gender,Date of Birth,Title,Age Group
167,Dustin Moskovitz,37,11.5,11500000000.00,Technology,Facebook,United States,California,San Francisco,Asana,TRUE,Male,22/05/1984,Cofounder,Young Adult
180,David Cheriton,71,10.9,10900000000.00,Technology,Google,United States,California,Palo Alto,Stanford University,TRUE,Male,29/03/1951,Entrepreneur,Old
197,Joe Gebbia,40,10,10000000000.00,Technology,Airbnb,United States,California,San Francisco,AirBnB,TRUE,Male,21/08/1981,Cofounder,Young Adult
197,David Geffen,79,10,10000000000.00,Media & Entertainment,"Movies, RecordLabels",United States,California,Beverly Hills,DreamWorks Animation SKG Inc. (Cl A),TRUE,Male,21/02/1943,Entrepreneur,Old
201,Andreas von Bechtolsheim & family,66,9.9,9900000000.00,Technology,Google,United States,California,Palo Alto,Arista Networks,TRUE,Male,30/09/1955,Entrepreneur,Old
206,Jan Koum,46,9.8,9800000000.00,Technology,WhatsApp,United States,California,Atherton,WhatsApp Inc.,TRUE,Male,24/02/1976,Entrepreneur,Middle Aged Adult
214,Gordon Moore,93,9.5,9500000000.00,Technology,Intel,United States,California,Woodside,Intel,TRUE,Male,03/01/1929,Chairman,Old
214,John Collison,31,9.5,9500000000.00,Technology,PaymentSoftware,United States,California,San Francisco,Stripe,TRUE,Male,06/08/1990,Entrepreneur,Young Adult
214,Patrick Collison,33,9.5,9500000000.00,Technology,PaymentSoftware,United States,California,San Francisco,Stripe,TRUE,Male,09/09/1988,Cofounder,Young Adult
221,Nathan Blecharczyk,38,9.2,9200000000.00,Technology,Airbnb,United States,California,San Francisco,Not provided,TRUE,Male,11/06/1983,Chief Executive Officer,Young Adult
254,Steven Rales,71,8.4,8400000000.00,Manufacturing,Manufacturing Investments,United States,California,Santa Barbara,Danaher,TRUE,Male,31/03/1951,Investor,Old
275,Marc Benioff,57,8.1,8100000000.00,Technology,BusinessSoftware,United States,California,San Francisco,Salesforce.com,TRUE,Male,25/09/1964,Chief Executive Officer and Chairman,Middle Aged Adult
284,Stewart & Lynda Resnick,64,8,8000000000.00,Food & Beverage,Agriculture Water,United States,California,Beverly Hills,Not provided,TRUE,Female,Not provided,Chief Executive Officer and Chairman,Old
284,George Roberts,78,8,8000000000.00,Finance & Investments,PrivateEquity,United States,California,Atherton,Not provided,TRUE,Male,14/09/1943,Chief Executive Officer,Old
288,Marijke Mars,57,7.9,7900000000.00,Food & Beverage,Candy PetFood,United States,California,Los Angeles,Not provided,FALSE,Female,28/07/1964,Chief Executive Officer,Middle Aged Adult
324,Yuri Milner,60,7.3,7300000000.00,Finance & Investments,Fintech,United States,California,Los Altos,DST Global,TRUE,Male,11/11/1961,Investor,Middle Aged Adult
324,Patrick Soon-Shiong,69,7.3,7300000000.00,Healthcare,Pharmaceuticals,United States,California,Los Angeles,Not provided,TRUE,Male,29/07/1952,Chief Executive Officer,Old
324,Henry Samueli,67,7.3,7300000000.00,Technology,Semiconductors,United States,California,Newport Beach,Broadcom,TRUE,Male,20/09/1954,Cofounder,Old
350,Edythe Broad & family,86,6.9,6900000000.00,Diversified,Homebuilding Insurance,United States,California,Los Angeles,Not provided,FALSE,Female,01/01/1936,Chief Executive Officer,Old
350,Vinod Khosla,67,6.9,6900000000.00,Technology,VentureCapital,United States,California,Portola Valley,Khosla Ventures,TRUE,Male,28/01/1955,Investor,Old
350,Douglas Leone,64,6.9,6900000000.00,Finance & Investments,VentureCapital,United States,California,Atherton,Sequoia,TRUE,Male,04/07/1957,Partner,Old
375,Brian Armstrong,39,6.6,6600000000.00,Finance & Investments,Cryptocurrency,United States,California,San Francisco,Not provided,TRUE,Male,25/01/1983,Chief Executive Officer,Young Adult
386,"Henry Nicholas, III.",62,6.5,6500000000.00,Technology,Semiconductors,United States,California,Newport Coast,Broadcom,TRUE,Male,08/10/1959,Cofounder,Old
398,Jack Dangermond,76,6.4,6400000000.00,Technology,Mapping Software,United States,California,Redlands,Not provided,TRUE,Male,23/07/1945,Chief Executive Officer,Old
403,Bobby Murphy,33,6.3,6300000000.00,Technology,Snapchat,United States,California,Venice,Snap,TRUE,Male,19/07/1988,Cofounder,Young Adult
418,Evan Spiegel,31,6.1,6100000000.00,Technology,Snapchat,United States,California,Los Angeles,Snap,TRUE,Male,04/06/1990,Cofounder,Young Adult
418,George Lucas,77,6.1,6100000000.00,Media & Entertainment,StarWars,United States,California,San Anselmo,Not provided,TRUE,Male,14/05/1944,Chief Executive Officer,Old
418,Jack Dorsey,45,6.1,6100000000.00,Technology,Twitter Square,United States,California,San Francisco,Twitter,TRUE,Male,19/11/1976,Entrepreneur,Middle Aged Adult
424,Tom Gores,57,6,6000000000.00,Finance & Investments,PrivateEquity,United States,California,Beverly Hills,Not provided,TRUE,Male,31/07/1964,Chief Executive Officer,Middle Aged Adult
431,Michael Moritz,67,5.9,5900000000.00,Technology,VentureCapital,United States,California,San Francisco,Sequoia,TRUE,Male,12/09/1954,Investor,Old
438,John A. Sobrato & family,82,5.8,5800000000.00,Real Estate,RealEstate,United States,California,Atherton,Sobrato Development Cos.,TRUE,Male,23/05/1939,Founder and Chairman,Old
460,Ken Xie,59,5.7,5700000000.00,Technology,Cybersecurity,United States,California,Los Altos Hills,Not provided,TRUE,Male,26/01/1963,Chief Executive Officer,Middle Aged Adult
460,Antony Ressler,60,5.7,5700000000.00,Finance & Investments,Finance,United States,California,Los Angeles,Not provided,TRUE,Male,01/01/1962,Chief Executive Officer,Middle Aged Adult
471,David Sun,70,5.6,5600000000.00,Technology,ComputerHardware,United States,California,Irvine,Kingston Technology Corporation,TRUE,Male,12/10/1951,Chief Executive Officer,Old
471,John Tu,80,5.6,5600000000.00,Technology,ComputerHardware,United States,California,Rolling Hills,Kingston Technology Corporation,TRUE,Male,12/08/1941,President,Old
471,"Edward Roski, Jr.",83,5.6,5600000000.00,Real Estate,RealEstate,United States,California,Los Angeles,"Majestic Realty, Co.",FALSE,Male,25/12/1938,President and Chairman,Old
480,Don Hankey,78,5.5,5500000000.00,Finance & Investments,AutoLoans,United States,California,Malibu,Hankey Group,TRUE,Male,13/06/1943,Entrepreneur,Old
480,Gwendolyn Sontheim Meyer,60,5.5,5500000000.00,Food & Beverage,Cargill,United States,California,Rancho Santa Fe,Not provided,FALSE,Female,27/10/1961,Chief Executive Officer,Middle Aged Adult
480,Eric Smidt,62,5.5,5500000000.00,Fashion & Retail,HardwareStores,United States,California,Beverly Hills,Not provided,TRUE,Male,01/01/1960,Chief Executive Officer,Old
523,Eric Yuan & family,52,5.2,5200000000.00,Technology,ZoomVideoCommunications,United States,California,Santa Clara,Rx relief,TRUE,Male,20/02/1970,Chief Executive Officer and Founder,Middle Aged Adult
552,Peter Thiel,54,5,5000000000.00,Finance & Investments,Facebook Investments,United States,California,Los Angeles,Founders Fund,TRUE,Male,11/10/1967,Investor,Middle Aged Adult
586,Jeff Skoll,57,4.8,4800000000.00,Technology,eBay,United States,California,Los Angeles,Not provided,TRUE,Male,16/01/1965,Chief Executive Officer,Middle Aged Adult
601,Scott Cook,69,4.7,4700000000.00,Technology,Software,United States,California,Woodside,Not provided,TRUE,Male,26/07/1952,Chief Executive Officer,Old
622,Dagmar Dolby & family,80,4.6,4600000000.00,Technology,DolbyLaboratories,United States,California,San Francisco,Not provided,FALSE,Female,28/06/1941,Chief Executive Officer,Old
665,Chris Larsen,61,4.3,4300000000.00,Finance & Investments,Cryptocurrency,United States,California,San Francisco,Not provided,TRUE,Male,15/06/1960,Chief Executive Officer,Old
665,"Rupert Johnson, Jr.",81,4.3,4300000000.00,Finance & Investments,MoneyManagement,United States,California,Burlingame,Franklin Resources,FALSE,Male,10/08/1940,Director,Old
665,Rick Caruso,63,4.3,4300000000.00,Real Estate,RealEstate,United States,California,Los Angeles,Not provided,TRUE,Male,07/01/1959,Chief Executive Officer,Old
687,Lynsi Snyder,39,4.2,4200000000.00,Food & Beverage,In-N-OutBurger,United States,California,Glendora,Not provided,FALSE,Female,05/05/1982,Chief Executive Officer,Young Adult
687,Romesh T. Wadhwani,74,4.2,4200000000.00,Technology,Software,United States,California,Palo Alto,Symphony Technology Group,TRUE,Male,25/08/1947,Founder and Chairman,Old
709,Steven Udvar-Hazy,76,4.1,4100000000.00,Service,AircraftLeasing,United States,California,Beverly Hills,Air Lease,TRUE,Male,23/02/1946,Chief Executive Officer and Chairman,Old
728,Jean (Gigi) Pritzker,59,4,4000000000.00,Service,Hotels Investments,United States,California,Los Angeles,Not provided,FALSE,Female,01/07/1962,Chief Executive Officer,Middle Aged Adult
728,Max Lytvyn,42,4,4000000000.00,Technology,Software,United States,California,San Francisco,Not provided,TRUE,Male,01/01/1980,Chief Executive Officer,Middle Aged Adult
764,Donald Sterling,87,3.9,3900000000.00,Real Estate,RealEstate,United States,California,Beverly Hills,Not provided,TRUE,Male,26/04/1934,Chief Executive Officer,Old
778,James Packer,54,3.8,3800000000.00,Gambling & Casinos,Casinos,United States,California,Los Angeles,Not provided,FALSE,Male,08/09/1967,Chief Executive Officer,Middle Aged Adult
778,Michael Milken,75,3.8,3800000000.00,Finance & Investments,Investments,United States,California,Los Angeles,Not provided,TRUE,Male,04/07/1946,Chief Executive Officer,Old
801,Anthony Pritzker,61,3.7,3700000000.00,Service,Hotels Investments,United States,California,Los Angeles,Not provided,FALSE,Male,07/01/1961,Chief Executive Officer,Old
801,Steven Spielberg,75,3.7,3700000000.00,Media & Entertainment,Movies,United States,California,Pacific Palisades,Not provided,TRUE,Male,18/12/1946,Chief Executive Officer,Old
801,Reed Hastings,61,3.7,3700000000.00,Media & Entertainment,Netflix,United States,California,Santa Cruz,Netflix,TRUE,Male,08/10/1960,Chief Executive Officer,Old
822,David Filo,55,3.6,3600000000.00,Technology,Yahoo,United States,California,Palo Alto,Yahoo!,TRUE,Male,15/04/1966,Entrepreneur,Middle Aged Adult
851,Thomas Siebel,69,3.5,3500000000.00,Technology,BusinessSoftware,United States,California,Woodside,Not provided,TRUE,Male,22/11/1952,Chief Executive Officer,Old
851,Apoorva Mehta,35,3.5,3500000000.00,Technology,GroceryDeliveryService,United States,California,San Francisco,Instacart,TRUE,Male,19/07/1986,Founder,Young Adult
883,Michael Xie,53,3.4,3400000000.00,Technology,Cybersecurity,United States,California,Los Altos Hills,Not provided,TRUE,Male,20/02/1969,Chief Executive Officer,Middle Aged Adult
883,Jeff T. Green,45,3.4,3400000000.00,Media & Entertainment,DigitalAdvertising,United States,California,Newbury Park,Not provided,TRUE,Male,30/03/1977,Chief Executive Officer,Middle Aged Adult
883,Meg Whitman,65,3.4,3400000000.00,Technology,eBay,United States,California,Los Angeles,Quibi,TRUE,Female,04/08/1956,Chief Executive Officer,Old
883,Behdad Eghbali,45,3.4,3400000000.00,Finance & Investments,PrivateEquity,United States,California,Los Angeles,Not provided,TRUE,Male,06/05/1976,Chief Executive Officer,Middle Aged Adult
883,Jose E. Feliciano,48,3.4,3400000000.00,Finance & Investments,PrivateEquity,United States,California,Marina Del Rey,Not provided,TRUE,Male,29/05/1973,Chief Executive Officer,Middle Aged Adult
883,Archie Aldis Emmerson & family,92,3.4,3400000000.00,Manufacturing,Timberland LumberMills,United States,California,Redding,Not provided,TRUE,Male,10/04/1929,Chief Executive Officer,Old
913,Jay Paul,74,3.3,3300000000.00,Real Estate,RealEstate,United States,California,San Francisco,Not provided,TRUE,Male,08/07/1947,Chief Executive Officer,Old
984,Peter Gassner,57,3.1,3100000000.00,Technology,Software,United States,California,Pleasanton,Not provided,TRUE,Male,26/02/1965,Chief Executive Officer,Middle Aged Adult
984,Haim Saban,77,3.1,3100000000.00,Media & Entertainment,TVNetwork Investments,United States,California,Beverly Hills,Not provided,TRUE,Male,15/10/1944,Chief Executive Officer,Old
1012,Neal Blue & family,87,3,3000000000.00,Manufacturing,Defense,United States,California,San Diego,Not provided,TRUE,Male,04/04/1935,Chief Executive Officer,Old
1012,Oren Zeev,57,3,3000000000.00,Finance & Investments,Investments,United States,California,Los Altos,Not provided,TRUE,Male,23/09/1964,Chief Executive Officer,Middle Aged Adult
1053,Riley Bechtel & family,70,2.9,2900000000.00,Construction & Engineering,Engineering Construction,United States,California,San Francisco,Bechtel Corp.,FALSE,Male,25/03/1952,Chairman,Old
1053,Nicolas Berggruen,60,2.9,2900000000.00,Real Estate,RealEstate Investments,United States,California,Beverly Hills,Not provided,FALSE,Male,10/08/1961,Chief Executive Officer,Middle Aged Adult
1096,Sean Parker,42,2.8,2800000000.00,Technology,Facebook,United States,California,Los Angeles,Not provided,TRUE,Male,03/12/1979,Chief Executive Officer,Middle Aged Adult
1096,Jeff Rothschild,67,2.8,2800000000.00,Technology,Facebook,United States,California,Palo Alto,Meta Platforms,TRUE,Male,02/01/1955,Entrepreneur,Old
1096,Nicholas Pritzker,78,2.8,2800000000.00,Finance & Investments,Hotels Investments,United States,California,Nicasio,Not provided,FALSE,Male,01/01/1944,Chief Executive Officer,Old
1096,Richard Peery,83,2.8,2800000000.00,Real Estate,RealEstate,United States,California,Palo Alto,Not provided,TRUE,Male,01/10/1938,Chief Executive Officer,Old
1096,Garrett Camp,43,2.8,2800000000.00,Technology,Uber,United States,California,San Francisco,Uber Technologies Inc.,TRUE,Male,04/10/1978,Entrepreneur,Middle Aged Adult
1096,Travis Kalanick,45,2.8,2800000000.00,Technology,Uber,United States,California,Los Angeles,Uber Technologies Inc.,TRUE,Male,06/08/1976,Cofounder,Middle Aged Adult
1096,Brian Acton,50,2.8,2800000000.00,Technology,WhatsApp,United States,California,Palo Alto,WhatsApp Inc.,TRUE,Male,17/02/1972,Entrepreneur,Middle Aged Adult
1163,Aneel Bhusri,56,2.7,2700000000.00,Technology,BusinessSoftware,United States,California,San Francisco,Workday,TRUE,Male,04/02/1966,Investor,Middle Aged Adult
1163,John Pritzker,68,2.7,2700000000.00,Finance & Investments,Hotels Investments,United States,California,San Francisco,Not provided,FALSE,Male,10/08/1953,Chief Executive Officer,Old
1163,Jerry Yang,53,2.7,2700000000.00,Technology,Yahoo,United States,California,Los Altos Hills,Yahoo!,TRUE,Male,06/11/1968,Cofounder,Middle Aged Adult
1196,Doris Fisher,90,2.6,2600000000.00,Fashion & Retail,Gap,United States,California,San Francisco,Gap,TRUE,Female,23/08/1931,Cofounder,Old
1196,Daniel Pritzker,62,2.6,2600000000.00,Finance & Investments,Hotels Investments,United States,California,Marin County,Not provided,FALSE,Male,15/09/1959,Chief Executive Officer,Old
1196,Jim Coulter,62,2.6,2600000000.00,Finance & Investments,PrivateEquity,United States,California,San Francisco,Not provided,TRUE,Male,01/12/1959,Chief Executive Officer,Old
1196,Alec Gores,69,2.6,2600000000.00,Finance & Investments,PrivateEquity,United States,California,Beverly Hills,Not provided,TRUE,Male,18/03/1953,Chief Executive Officer,Old
1196,Oprah Winfrey,68,2.6,2600000000.00,Media & Entertainment,TVShows,United States,California,Montecito,Not provided,TRUE,Female,29/01/1954,Entrepreneur,Old
1196,Kavitark Ram Shriram,65,2.6,2600000000.00,Technology,VentureCapital Google,United States,California,Menlo Park,Sherpalo Ventures,TRUE,Male,21/01/1957,Investor,Old
1238,Charles Munger,98,2.5,2500000000.00,Finance & Investments,BerkshireHathaway,United States,California,Los Angeles,Berkshire Hathaway,TRUE,Male,01/01/1924,Chairman,Old
1238,Jed McCaleb,47,2.5,2500000000.00,Finance & Investments,Cryptocurrency,United States,California,Berkeley,Not provided,TRUE,Male,01/01/1975,Chief Executive Officer,Middle Aged Adult
1238,Chen Tei-fu,73,2.5,2500000000.00,Fashion & Retail,HerbalProducts,United States,California,Los Angeles,Not provided,TRUE,Male,19/04/1948,Entrepreneur,Old
1238,David Baszucki,59,2.5,2500000000.00,Media & Entertainment,OnlineGames,United States,California,San Francisco,Not provided,TRUE,Male,20/01/1963,Chief Executive Officer,Middle Aged Adult
1292,Nikil Viswanathan,34,2.4,2400000000.00,Technology,Blockchain Technology,United States,California,San Francisco,Not provided,TRUE,Male,16/10/1987,Chief Executive Officer,Young Adult
1292,Joe Lau,32,2.4,2400000000.00,Technology,Blockchain Technology,United States,California,Stanford,Not provided,TRUE,Male,01/07/1989,Chief Executive Officer,Young Adult
1292,Sarah MacMillan,68,2.4,2400000000.00,Food & Beverage,Cargill,United States,California,Los Angeles,Not provided,FALSE,Female,01/01/1954,Chief Executive Officer,Old
1292,Rodney Sacks,72,2.4,2400000000.00,Food & Beverage,EnergyDrink,United States,California,Laguna Beach,Monster Beverage,TRUE,Male,24/12/1949,Chief Executive Officer,Old
1292,Hilton Schlosberg,69,2.4,2400000000.00,Food & Beverage,EnergyDrink,United States,California,Irvine,Not provided,TRUE,Male,01/01/1953,Chief Executive Officer,Old
1292,John Fisher,60,2.4,2400000000.00,Fashion & Retail,Gap,United States,California,San Francisco,"Pisces, Inc.",FALSE,Male,01/06/1961,President,Middle Aged Adult
1292,Jeff Tangney,49,2.4,2400000000.00,Healthcare,HealthcareIT,United States,California,Palo Alto,Doximity,TRUE,Male,09/08/1972,Chief Executive Officer,Middle Aged Adult
1292,George Argyros & family,85,2.4,2400000000.00,Real Estate,RealEstate Investments,United States,California,Newport Beach,Arnel & Affiliates,TRUE,Male,04/02/1937,Investor,Old
1292,Anthony Wood,56,2.4,2400000000.00,Technology,Roku,United States,California,Palo Alto,Not provided,TRUE,Male,04/12/1965,Chief Executive Officer,Middle Aged Adult
1341,Osman Kibar,51,2.3,2300000000.00,Healthcare,Biotech,United States,California,La Jolla,Samumed,TRUE,Male,01/04/1971,Chief Executive Officer and Founder,Middle Aged Adult
1341,David Murdock,98,2.3,2300000000.00,Food & Beverage,RealEstate,United States,California,Ventura,Not provided,TRUE,Male,10/04/1923,Chief Executive Officer,Old
1397,Riaz Valani,45,2.2,2200000000.00,Finance & Investments,E-cigarettes,United States,California,Malibu,Not provided,TRUE,Male,01/09/1976,Chief Executive Officer,Middle Aged Adult
1397,Chris Britt,49,2.2,2200000000.00,Finance & Investments,Fintech,United States,California,San Francisco,Not provided,TRUE,Male,17/03/1973,Chief Executive Officer,Middle Aged Adult
1397,Jeffrey Gundlach,63,2.2,2200000000.00,Finance & Investments,Investments,United States,California,Los Angeles,DoubleLine Capital,TRUE,Male,01/01/1959,Chief Executive Officer,Old
1397,Bruce Karsh,66,2.2,2200000000.00,Finance & Investments,PrivateEquity,United States,California,Los Angeles,Oaktree Capital Group LLC,TRUE,Male,10/10/1955,President,Old
1397,"B. Wayne Hughes, Jr.",61,2.2,2200000000.00,Real Estate,StorageFacilities,United States,California,Malibu,Not provided,FALSE,Male,01/01/1961,Chief Executive Officer,Old
1445,Alice Schwartz,95,2.1,2100000000.00,Healthcare,Biotech,United States,California,El Cerrito,Not provided,TRUE,Female,02/07/1926,Chief Executive Officer,Old
1445,Jayshree Ullal,61,2.1,2100000000.00,Technology,ComputerNetworking,United States,California,Saratoga,Not provided,TRUE,Female,27/03/1961,Chief Executive Officer,Old
1445,Gary Friedman,64,2.1,2100000000.00,Fashion & Retail,FurnitureRetail,United States,California,Belvedere,Not provided,TRUE,Male,06/08/1957,Chief Executive Officer,Old
1445,Gordon Getty,88,2.1,2100000000.00,Energy,GettyOil,United States,California,San Francisco,Ann & Gordon Getty Foundation,FALSE,Male,20/12/1933,President and Chairman,Old
1445,Reid Hoffman,54,2.1,2100000000.00,Technology,LinkedIn,United States,California,Palo Alto,Greylock Partners,TRUE,Male,05/08/1967,Entrepreneur,Middle Aged Adult
1513,Tim Cook,61,2,2000000000.00,Technology,Apple,United States,California,Cupertino,Apple,TRUE,Male,01/11/1960,Chief Executive Officer,Old
1513,Kanye West,44,2,2000000000.00,Fashion & Retail,Music Sneakers,United States,California,Los Angeles,Musician,TRUE,Male,08/06/1977,Chief Executive Officer,Middle Aged Adult
1513,Evan Williams,50,2,2000000000.00,Technology,Twitter,United States,California,San Francisco,Twitter,TRUE,Male,31/03/1972,Entrepreneur,Middle Aged Adult
1645,Kim Kardashian,41,1.8,1800000000.00,Fashion & Retail,Cosmetics TV,United States,California,Hidden Hills,Not provided,TRUE,Female,21/10/1980,Personality,Middle Aged Adult
1645,Ali Ghodsi,43,1.8,1800000000.00,Technology,DataAnalytics,United States,California,San Francisco,Not provided,TRUE,Male,08/12/1978,Chief Executive Officer,Middle Aged Adult
1645,George Joseph,100,1.8,1800000000.00,Finance & Investments,Insurance,United States,California,Los Angeles,Not provided,TRUE,Male,11/09/1921,Chief Executive Officer,Old
1645,Gary Michelson,73,1.8,1800000000.00,Healthcare,MedicalDevices,United States,California,Los Angeles,Not provided,TRUE,Male,14/01/1949,Chief Executive Officer,Old
1645,George Marcus,80,1.8,1800000000.00,Real Estate,RealEstate,United States,California,Los Altos Hills,Not provided,TRUE,Male,15/08/1941,Chief Executive Officer,Old
1645,Frank Slootman,63,1.8,1800000000.00,Technology,Software,United States,California,Pleasanton,Not provided,TRUE,Male,03/10/1958,Chief Executive Officer,Old
1645,Tench Coxe,64,1.8,1800000000.00,Finance & Investments,VentureCapital,United States,California,Palo Alto,Not provided,TRUE,Male,14/01/1958,Chief Executive Officer,Old
1729,Rihanna,34,1.7,1700000000.00,Fashion & Retail,Music Cosmetics,United States,California,Los Angeles,Not provided,TRUE,Female,20/02/1988,Musician,Young Adult
1729,John Bicket,42,1.7,1700000000.00,Technology,SensorSystems,United States,California,San Francisco,Not provided,TRUE,Male,20/03/1980,Entrepreneur,Middle Aged Adult
1729,Sanjit Biswas,40,1.7,1700000000.00,Technology,SensorSystems,United States,California,San Francisco,Not provided,TRUE,Male,12/01/1982,Entrepreneur,Young Adult
1729,Marc Andreessen,50,1.7,1700000000.00,Finance & Investments,VentureCapital,United States,California,Atherton,Andreessen Horowitz,TRUE,Male,09/07/1971,Investor,Middle Aged Adult
1818,Ion Stoica,57,1.6,1600000000.00,Technology,DataAnalytics,United States,California,Berkeley,Not provided,TRUE,Male,12/02/1965,Chief Executive Officer,Middle Aged Adult
1818,Matei Zaharia,36,1.6,1600000000.00,Technology,DataAnalytics,United States,California,Berkeley,Not provided,TRUE,Male,21/04/1985,Chief Executive Officer,Young Adult
1818,Sheryl Sandberg,52,1.6,1600000000.00,Technology,Facebook,United States,California,Menlo Park,Meta Platforms,TRUE,Female,28/08/1969,Chief Executive Officer,Middle Aged Adult
1818,Bill Gross,77,1.6,1600000000.00,Finance & Investments,Investments,United States,California,Laguna Beach,Pacific Investment Management Company LLC,TRUE,Male,13/04/1944,Cofounder,Old
1818,Sue Gross,72,1.6,1600000000.00,Finance & Investments,Investments,United States,California,Laguna Beach,Not provided,FALSE,Female,17/02/1950,Chief Executive Officer,Old
1818,Richard Kayne,76,1.6,1600000000.00,Finance & Investments,Investments,United States,California,Santa Monica,Not provided,TRUE,Male,01/01/1946,Chief Executive Officer,Old
1818,Patrick Hanrahan,66,1.6,1600000000.00,Technology,Software,United States,California,Portola Valley,Not provided,TRUE,Male,08/05/1955,Chief Executive Officer,Old
